                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.36677,                0.32437,                  1.059,                0.97846,                0.96427,                0.98861,                0.76911,                0.80251,                0.39329,                 1.7309,              7.922e-05,              7.922e-05,              7.922e-05
                     64,                0.35646,                0.31331,                 1.0474,                0.96518,                0.96952,                0.99028,                0.76472,                0.81594,                0.39346,                 1.7446,              7.724e-05,              7.724e-05,              7.724e-05
                     65,                0.35795,                0.31337,                 1.0507,                0.96066,                 0.9678,                0.99213,                0.76678,                0.81087,                0.39598,                 1.7346,              7.526e-05,              7.526e-05,              7.526e-05
                     66,                0.35236,                0.31155,                 1.0431,                 0.9723,                0.96957,                0.98991,                0.76113,                 0.8303,                0.40525,                 1.7544,              7.328e-05,              7.328e-05,              7.328e-05
                     67,                0.34484,                0.30566,                 1.0351,                0.97151,                0.97048,                0.99246,                0.78211,                0.80705,                0.38757,                 1.7373,               7.13e-05,               7.13e-05,               7.13e-05
                     68,                0.34352,                0.30545,                 1.0391,                0.96318,                0.97694,                0.99147,                0.77023,                0.82315,                0.40768,                 1.7608,              6.932e-05,              6.932e-05,              6.932e-05
                     69,                0.34585,                0.29734,                 1.0391,                0.96829,                0.97293,                0.99074,                0.76983,                0.81462,                 0.3932,                 1.7256,              6.734e-05,              6.734e-05,              6.734e-05
                     70,                0.34469,                0.30248,                 1.0387,                0.96591,                0.97662,                 0.9898,                0.77445,                0.80939,                0.39275,                 1.7323,              6.536e-05,              6.536e-05,              6.536e-05
                     71,                0.34241,                0.30047,                 1.0391,                0.96516,                0.97322,                 0.9926,                0.77408,                0.80494,                0.38941,                   1.71,              6.338e-05,              6.338e-05,              6.338e-05
                     72,                0.34418,                0.29706,                 1.0388,                0.96806,                0.96894,                0.99223,                0.77178,                0.81593,                 0.3808,                  1.747,               6.14e-05,               6.14e-05,               6.14e-05
                     73,                0.33751,                0.29582,                 1.0336,                0.97594,                0.96769,                0.98859,                 0.7664,                0.80952,                0.39515,                 1.7359,              5.942e-05,              5.942e-05,              5.942e-05
                     74,                0.33996,                0.29833,                 1.0305,                0.96793,                0.96913,                0.98979,                0.77685,                0.79629,                0.37693,                 1.7115,              5.744e-05,              5.744e-05,              5.744e-05
                     75,                0.33591,                0.29373,                 1.0282,                0.96927,                0.96689,                0.99142,                 0.7707,                0.81588,                0.38987,                 1.7347,              5.546e-05,              5.546e-05,              5.546e-05
                     76,                0.33849,                0.28857,                 1.0311,                0.96846,                0.97218,                0.98978,                0.77556,                0.79467,                0.37097,                 1.7104,              5.348e-05,              5.348e-05,              5.348e-05
                     77,                0.33523,                0.28322,                 1.0296,                0.97295,                0.97781,                0.99236,                0.77406,                0.79966,                0.36566,                 1.7328,               5.15e-05,               5.15e-05,               5.15e-05
                     78,                0.33233,                0.28144,                 1.0245,                0.96816,                0.97539,                0.99176,                0.76694,                0.82915,                0.38768,                 1.7664,              4.952e-05,              4.952e-05,              4.952e-05
                     79,                0.33175,                0.28068,                 1.0298,                0.95841,                0.97536,                0.99376,                0.76695,                0.82639,                 0.3777,                 1.7559,              4.754e-05,              4.754e-05,              4.754e-05
                     80,                0.33392,                0.28894,                 1.0275,                0.96072,                0.96513,                0.98351,                0.77055,                0.80984,                0.36942,                 1.7241,              4.556e-05,              4.556e-05,              4.556e-05
                     81,                0.32797,                0.27991,                 1.0232,                0.94898,                0.97577,                0.99046,                0.77145,                0.80684,                0.37573,                 1.7252,              4.358e-05,              4.358e-05,              4.358e-05
                     82,                 0.3239,                0.27784,                 1.0198,                 0.9747,                0.96938,                0.98772,                0.77293,                0.80172,                0.37307,                 1.7144,               4.16e-05,               4.16e-05,               4.16e-05
                     83,                0.32568,                0.28803,                 1.0239,                0.94782,                0.97337,                0.98423,                0.77882,                0.79872,                0.36682,                 1.7188,              3.962e-05,              3.962e-05,              3.962e-05
                     84,                0.32516,                0.27751,                 1.0226,                0.96718,                0.97578,                0.98424,                0.77393,                0.79607,                 0.3656,                 1.7163,              3.764e-05,              3.764e-05,              3.764e-05
                     85,                0.31903,                0.27954,                 1.0187,                0.97299,                0.97131,                0.98175,                0.76915,                0.80773,                0.36683,                 1.7372,              3.566e-05,              3.566e-05,              3.566e-05
                     86,                 0.3227,                0.27194,                   1.02,                0.96893,                0.97165,                0.98063,                0.76667,                0.82658,                0.38679,                 1.7593,              3.368e-05,              3.368e-05,              3.368e-05
                     87,                0.31592,                0.26413,                 1.0159,                0.97179,                 0.9707,                0.98283,                 0.7764,                0.80615,                0.37077,                 1.7357,               3.17e-05,               3.17e-05,               3.17e-05
                     88,                0.31521,                0.26539,                 1.0168,                0.96293,                0.97205,                0.98138,                0.76945,                0.82572,                0.38242,                 1.7548,              2.972e-05,              2.972e-05,              2.972e-05
                     89,                 0.3141,                0.26692,                 1.0135,                0.96095,                0.97253,                0.98229,                0.77767,                0.81167,                0.37389,                  1.738,              2.774e-05,              2.774e-05,              2.774e-05
                     90,                0.32231,                0.26949,                 1.0226,                0.97627,                 0.9737,                0.98809,                0.77673,                0.79039,                0.36305,                 1.7048,              2.576e-05,              2.576e-05,              2.576e-05
                     91,                0.26163,                0.22808,                  1.017,                 0.9681,                 0.9826,                0.99116,                0.76689,                0.82328,                0.39181,                  1.762,              2.378e-05,              2.378e-05,              2.378e-05
                     92,                0.24723,                0.21404,                 1.0033,                0.95397,                0.98819,                0.98929,                0.77226,                0.81166,                0.38538,                 1.7454,               2.18e-05,               2.18e-05,               2.18e-05
                     93,                0.24494,                0.22304,                0.99467,                0.93767,                0.98436,                0.99012,                0.77698,                0.79136,                0.37411,                 1.7222,              1.982e-05,              1.982e-05,              1.982e-05
                     94,                0.23843,                0.20647,                0.98653,                0.97623,                0.97696,                0.99055,                0.77942,                0.79171,                0.36727,                  1.728,              1.784e-05,              1.784e-05,              1.784e-05
                     95,                0.23263,                0.20183,                0.97999,                0.98299,                 0.9807,                 0.9912,                0.78018,                0.79351,                0.36089,                 1.7332,              1.586e-05,              1.586e-05,              1.586e-05
                     96,                0.22917,                0.19833,                0.98446,                0.98427,                0.97908,                0.99019,                0.78234,                 0.7997,                 0.3668,                 1.7404,              1.388e-05,              1.388e-05,              1.388e-05
                     97,                0.23135,                0.20024,                0.98053,                0.97475,                0.98248,                0.99098,                0.77864,                0.81005,                0.37156,                 1.7498,               1.19e-05,               1.19e-05,               1.19e-05
                     98,                0.22507,                0.19051,                0.96921,                0.97766,                0.98077,                0.99019,                0.77472,                0.81363,                0.37013,                  1.757,               9.92e-06,               9.92e-06,               9.92e-06
                     99,                0.22879,                0.19914,                0.98329,                0.98131,                0.98153,                0.99065,                0.78195,                0.79934,                0.36151,                 1.7385,               7.94e-06,               7.94e-06,               7.94e-06
                    100,                0.21988,                0.18616,                 0.9686,                0.98278,                0.98141,                0.99069,                0.78202,                0.79926,                0.36262,                 1.7372,               5.96e-06,               5.96e-06,               5.96e-06
